pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_sec
9,12,9,12,66857
9,12,9,10,18535
10,13,10,12,52218
9,13,10,13,1969
10,13,11,13,72457
10,13,10,12,66468
9,12,9,12,69552
13,13,11,13,81740
9,12,10,12,61283
13,13,9,12,66232
9,12,9,12,75796
13,13,13,13,82256
9,11,10,13,72057
16,9,9,10,68883
13,12,11,13,59253
10,12,9,12,36699
9,12,10,14,54174
9,11,10,12,70846
9,12,9,13,47848
8,11,10,12,80595
10,13,10,13,47290
9,11,9,11,57038
10,13,10,12,31469
9,13,10,14,64796
9,10,11,13,84942
9,12,10,8,73835
10,13,10,12,35417
9,12,10,13,41397
9,11,9,12,67069
10,13,9,12,47433
16,7,15,16,32790
9,12,9,12,81569
10,11,10,14,65457
10,14,10,14,41218
9,13,10,13,27372
13,13,10,9,64659
9,12,9,13,70297
10,13,10,12,71348
10,14,10,13,4550
16,7,10,12,37901
16,7,14,11,21451
8,10,16,7,73623
10,13,11,13,69088
10,13,10,13,59973
9,11,9,11,66698
10,12,10,12,71735
10,11,10,12,75778
10,14,9,12,42030
9,13,10,13,41462
10,12,10,12,44624
10,14,10,12,31346
10,13,9,12,64360
16,7,12,8,35829
9,12,9,12,84085
11,13,9,11,15508
10,13,9,11,9000
10,13,10,13,41496
9,12,9,12,58043
10,12,9,13,70904
11,13,11,14,39105
13,13,9,12,75532
9,11,9,11,38571
9,12,9,12,37367
16,7,9,10,66937
9,12,11,14,61129
8,10,10,13,48072
9,11,9,11,11897
9,12,10,12,29882
9,11,9,13,84502
10,14,10,13,34183
9,11,9,12,59880
9,12,9,12,58312
9,11,9,12,76826
9,13,10,13,66508
9,10,10,12,83603
10,12,10,13,61747
10,12,10,11,63273
10,12,10,13,73862
10,12,10,13,64402
10,13,10,13,27479
10,11,9,9,38013
8,10,10,13,78155
16,7,11,13,55874
10,14,10,15,76570
10,12,10,12,2504
9,11,10,12,69485
10,12,10,12,31543
10,13,10,14,42252
10,13,10,15,46582
10,13,11,13,65455
10,12,10,12,54397
10,12,9,13,71479
10,12,10,12,69232
10,13,11,13,47593
9,12,9,12,23108
10,12,10,13,84426
11,14,11,14,85917
11,13,11,13,68803
11,13,10,12,35445
9,11,9,12,75540
16,7,16,7,78724
10,13,10,14,81300
16,7,15,14,13559
9,12,9,12,50546
10,13,11,13,26424
8,11,9,11,10130
10,12,9,11,85207
10,12,10,12,23645
9,12,8,10,54566
10,13,10,11,56427
10,13,9,13,24635
10,13,10,13,18918
10,13,9,12,45668
10,13,10,12,56752
10,12,10,13,31325
10,12,10,13,57954
9,11,9,10,10604
9,13,10,13,57994
9,12,10,13,44836
10,12,9,11,62622
10,11,9,11,82408
8,10,10,12,24358
10,13,11,14,74443
16,7,14,11,84875
10,13,10,13,65289
11,14,11,14,45090
10,13,11,13,41363
9,12,10,12,55611
9,12,9,11,58405
9,11,9,10,84578
9,12,13,13,50487
9,12,10,13,75791
10,14,10,13,63907
9,10,9,12,57335
9,13,10,14,42622
10,12,9,12,56700
9,11,10,12,1764
10,14,16,7,29026
9,11,9,9,40527
9,12,10,14,35827
9,12,8,11,51503
9,13,9,11,77978
10,12,10,12,67650
10,13,12,12,13288
10,13,9,12,85723
10,13,10,13,27064
16,7,9,11,76936
13,13,12,12,47142
9,11,11,13,55677
10,13,16,7,16589
9,12,9,13,79753
10,12,11,13,79678
9,12,9,11,72665
9,11,10,14,11279
10,9,10,9,62646
11,8,10,15,47633
11,13,10,13,44741
11,14,9,11,57077
10,13,9,12,66155
9,12,11,14,73827
10,13,10,13,55004
11,13,11,12,57062
8,10,10,12,64791
9,11,11,14,43430
10,14,10,12,49380
10,13,3,9,55940
10,13,10,13,49772
10,13,10,12,66760
9,10,9,11,58342
10,12,10,12,56647
10,12,11,13,84948
9,12,8,10,67393
9,11,9,9,5319
9,10,11,9,81208
16,7,12,9,81976
9,11,10,12,50932
11,13,10,13,55910
9,13,10,13,55418
9,11,10,10,47705
10,13,10,13,53826
9,11,9,12,31228
9,11,12,13,40508
11,13,10,13,75382
10,11,9,12,35268
9,13,10,13,41648
9,12,10,11,42666
9,11,10,12,76769
10,13,10,12,50572
9,11,11,13,3283
10,12,10,11,52157
9,12,9,12,63556
10,13,10,13,43695
10,13,9,13,52610
9,13,10,12,36990
9,13,9,11,55585
8,11,9,12,8996
16,7,11,13,76942
9,12,9,12,43021
16,7,9,10,56101
9,12,9,12,67493
8,10,10,13,72139
9,13,9,12,57637
10,14,11,14,75997
10,12,9,12,78398
10,14,10,14,52957
10,13,10,13,82179
9,12,16,10,39885
10,12,10,13,60792
10,12,9,11,81742
10,12,9,11,65835
10,13,9,12,57424
10,15,10,14,47980
11,14,10,13,64989
9,13,10,13,66351
11,13,10,13,7145
9,12,9,13,69170
10,13,10,13,45978
10,13,9,12,51974
10,13,9,12,50090
9,10,9,11,76394
10,13,9,11,64159
10,13,10,13,44249
9,13,10,13,75094
16,7,9,9,27531
10,12,10,13,31971
